"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a","data"
"CORR4",69,-1.15,-0.33,0.833,0,0.145,0.24,-1.31,-0.18,0.5,0.52,-0.6371,-0.7237,18.1,-0.1384,0.284,0,-4887000,0,-0.1536,"2020-10-26T16:09:53.719Z"
"JFEN3",4.33,-1.12,1.36,4.612,0,0.26,0.94,-3.09,-5.65,-7.18,-7.25,-1.4916,-4.331,1.52,-0.08779999999999999,-1.209,10512.5,336159000,1.84,-0.41759999999999997,"2020-10-26T16:09:53.719Z"
"JBDU3",4.52,-1.07,0.34,0,0,0.119,0,2.98,0,2.98,2.98,0,0,0,0,-0.3141,66809.4,67440000,0,0,"2020-10-26T16:09:53.719Z"
"LGLO4",100,-1.05,0.65,0.225,0,0.192,-0.32,-1.24,-0.32,-2.13,-2.13,-0.18100000000000002,-0.2147,0.14,-0.1837,-0.6251,0,5191000,0.49,-0.1142,"2020-10-26T16:09:53.719Z"
"SGPS3",6.95,-0.98,0.3,0.263,0,0.11,1.7,6.23,-0.42,19.83,7.89,0.042300000000000004,-0.2697,1.21,0.02,-0.3043,1061310,1169340000,0.84,-0.17809999999999998,"2020-10-26T16:09:53.719Z"
"RPMG3",2.67,-0.94,-0.06,0.309,0,0.065,-0.07,-1.72,-0.06,-1.72,-1.72,-0.1795,-0.3289,0.5,-0.0382,0.0647,235831,-2970570000,0,-0.008100000000000001,"2020-10-26T16:09:53.719Z"
"LLIS3",4.9,-0.89,0.46,0.473,0,0.132,-0.69,-1.03,-0.28,-5.57,3.48,-0.4604,-2.4797,0.56,-0.13970000000000002,-0.5195000000000001,1040040,733301000,2.14,-0.0975,"2020-10-26T16:09:53.719Z"
"DHBI3",19,-0.83,-0.17,0.869,0,0.343,-0.16,-3.68,-0.13,-24.58,-59.55,-0.23579999999999998,-1.5481,0.12,-0.105,0.21030000000000001,0,-456340000,-0.99,-0.23620000000000002,"2020-10-26T16:09:53.719Z"
"LETO5",2.06,-0.83,-0.14,0,0,0.248,0,0,0,0,0,0,0,0,0,0.1705,0,-58642000,0,-0.17379999999999998,"2020-10-26T16:09:53.719Z"
"IENG3",0.15,-0.81,0.99,1.717,0,0.11,-1.17,3.88,-0.3,25.11,25.11,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0,52234000,5.45,0.08130000000000001,"2020-10-26T16:09:53.719Z"
